525.041537062 , 350.150097584
497.169377502 , 444.671639139
422.641392796 , 509.185239511
325.081322039 , 523.149285694
235.436581809 , 482.216048686
182.169279453 , 399.350301592
182.142823083 , 300.59712943
235.46925994 , 217.575119352
325.114846047 , 176.829057707
422.672771219 , 190.80684118
@ 0
525.237335623 , 349.461385246
497.718865962 , 443.81651959
421.935692521 , 508.493497463
324.809306732 , 524.10825922
235.344032104 , 481.579666681
181.824550389 , 399.234012177
181.814426818 , 301.14432106
235.816305779 , 217.569138329
325.379542725 , 175.69621696
423.915868825 , 190.220411382
@ 100
524.614473291 , 348.503650928
497.336919223 , 444.438409268
423.108446858 , 507.837412057
326.04170718 , 524.714865615
235.326291086 , 480.905806425
181.812794783 , 397.896616793
182.498138313 , 301.462728408
235.843278137 , 217.56496646
324.01408009 , 176.406793888
424.04859644 , 189.850364766
@ 200
524.110378134 , 349.141896393
498.006684642 , 444.913161192
424.568554395 , 507.954832311
326.951959807 , 524.234093484
235.450767171 , 481.097693328
182.539768552 , 397.016893174
181.767302566 , 301.405326895
236.412229952 , 217.484241663
325.898652843 , 176.968615232
424.444054914 , 189.947350386
@ 300
523.919641115 , 348.668448092
498.802760619 , 444.822624715
426.189060728 , 507.449217955
326.536357529 , 522.997198854
234.891027537 , 482.283136769
183.933318358 , 397.403905616
181.354103383 , 300.671588394
235.500680486 , 217.153140981
326.997651318 , 175.959867961
425.330553417 , 190.909903855
@ 400
523.640952449 , 347.734362362
499.218100429 , 444.501653661
425.672724992 , 507.746210456
326.162764425 , 523.281289023
235.597947694 , 482.09766358
184.115794727 , 396.811984674
182.306381096 , 300.427363324
235.225903505 , 217.293510347
327.501073745 , 173.940354435
424.909422156 , 192.265506878
@ 500
523.026224152 , 347.136060639
499.082297474 , 444.481519784
425.372577662 , 507.930700324
327.642352906 , 523.339576152
234.951723943 , 483.013851774
182.846384082 , 396.325700108
183.040704552 , 300.265375381
234.594147834 , 215.937365405
327.037877264 , 173.338116724
424.747755536 , 191.952542753
@ 600
523.155761422 , 347.987967728
498.911756115 , 444.926132
424.887991644 , 508.274018186
328.292320497 , 523.280196605
236.451183824 , 483.109481036
181.432350402 , 395.835724602
182.902839689 , 300.284964182
233.305990622 , 216.592394325
327.935159615 , 172.998358416
423.942952635 , 192.21120585
@ 700
523.817276516 , 347.609654276
498.472498124 , 444.528494919
423.738181506 , 508.644212105
328.332665243 , 523.045102741
237.605425758 , 483.40887041
180.968226592 , 396.255552527
182.637565618 , 299.825062308
235.297178795 , 216.239817772
328.295878525 , 173.236146331
423.582670047 , 190.96356662
@ 800
524.019455228 , 347.180302414
497.906221788 , 444.071885511
423.252974396 , 508.193157637
329.043723459 , 523.13033266
236.707354502 , 482.941958936
181.154254789 , 397.001300439
183.600303298 , 299.386149495
234.716761625 , 216.11217586
328.08321063 , 173.574802975
423.287800608 , 190.546374564
@ 900
524.280077579 , 346.657134954
498.430451997 , 442.531851423
423.883896933 , 507.902685512
329.389301655 , 523.185925709
236.309920324 , 483.316534606
180.703024208 , 396.667498573
184.429970037 , 299.162155394
233.808041877 , 216.85896779
329.304218502 , 173.223984826
422.805201495 , 189.940804555
@ 1000
524.293731072 , 346.379617844
498.456360536 , 442.714581836
424.534085204 , 506.531087833
329.944060269 , 523.720823501
236.206992738 , 484.241044568
180.533913067 , 396.494152751
184.093375612 , 299.208874021
234.181666232 , 215.852308227
329.79254347 , 173.86370967
423.305248776 , 189.714832198
@ 1100
523.987589457 , 346.664098905
499.318659472 , 442.73502756
424.98413186 , 506.519399899
329.659160348 , 524.096808714
235.239737529 , 483.885642878
180.688836205 , 396.981189483
184.217088077 , 298.975860665
234.48138182 , 215.649757481
329.538142791 , 174.655479667
424.606213831 , 189.580560017
@ 1200
523.344117925 , 346.400823754
498.712849126 , 443.265600347
424.527933494 , 507.215411784
330.317718057 , 523.895268147
236.16223599 , 483.176829723
181.071499728 , 397.662235524
185.335628126 , 299.326611526
233.991758899 , 216.128233295
331.157759899 , 174.499817232
425.124357279 , 189.889281425
@ 1300
523.21974201 , 346.425758323
496.797828454 , 443.689870148
424.161275096 , 507.252613694
330.945774003 , 524.356514193
235.381387139 , 483.95026072
180.833378095 , 397.392529183
184.525140582 , 299.838438318
233.984552738 , 216.427153304
332.260233587 , 174.679909817
425.95324103 , 189.803579647
@ 1400
523.482175991 , 347.127367925
496.685287232 , 443.901182123
423.451158267 , 506.969469488
331.042916887 , 524.34700827
234.234064678 , 483.637569301
180.869042262 , 396.871271403
184.914557516 , 299.316959226
233.720286719 , 215.344490239
332.888590049 , 173.73108854
426.540386372 , 190.30339049
@ 1500
523.837297755 , 347.188200899
497.117333171 , 443.86712055
423.07514398 , 507.346432652
331.016093692 , 524.622285326
233.721110554 , 483.686479971
180.314290223 , 397.828341279
184.942416935 , 299.827814348
233.861345784 , 216.295999721
332.99892059 , 173.800854838
426.46574841 , 190.178448206
@ 1600
523.903650035 , 347.246876192
496.954293779 , 444.912458766
422.931151366 , 508.224827957
330.390718909 , 524.948173533
234.161875586 , 484.553787044
179.495134772 , 397.6436266
184.202849021 , 299.727784364
232.273617752 , 215.941726348
332.50078792 , 173.723087795
427.121063433 , 191.063111622
@ 1700
523.806760514 , 347.802106118
497.295299654 , 444.120639737
422.740159081 , 508.129189099
330.059311497 , 525.501235954
234.355750528 , 483.98851378
179.231723182 , 397.981410494
183.843619124 , 300.038773554
233.116592047 , 216.437199351
331.765979771 , 173.718937375
426.862708923 , 191.746521385
@ 1800
524.086877851 , 348.515560361
498.552626474 , 444.048929039
